Start,End,Speaker,Text
0 days 00:02:15,0 days 00:02:18,SPEAKER 1, they would vote for Elizabeth Warren. We had a lot of them call into serious progress this morning.
0 days 00:02:18,0 days 00:02:23,SPEAKER 1," And they said that, right? We would vote for Liz with more if she is the nominee. We'll vote for"
0 days 00:02:23,0 days 00:02:26,SPEAKER 1, Liz Warren if we think that Bernie drops out of this race. So I think that there is some potential
0 days 00:02:26,0 days 00:02:30,SPEAKER 2," so shit there. When Bernie just going to try and convince people that he's perfectly healthy,"
0 days 00:02:30,0 days 00:02:35,SPEAKER 2," he feels better and he's staying in. He can raise money so shut up. Yeah, I think that's going"
0 days 00:02:35,0 days 00:02:38,SPEAKER 1," to be the Bernie strategy, which you're going to see Bernie Sanders do tomorrow is going to show I'm"
0 days 00:02:38,0 days 00:02:43,SPEAKER 1," healthy, I'm viable. I'm still in this race. Even though I'm third, there's still momentum behind me."
0 days 00:02:43,0 days 00:02:48,SPEAKER 1, I think we're going to see Joe Biden do is he's going to what Joe Biden has to do here. He's waiting on
0 days 00:02:48,0 days 00:02:54,SPEAKER 1," South Carolina. He knows he has a big black, black base. He has to keep black voters engaging."
0 days 00:02:54,0 days 00:02:58,SPEAKER 2," Yeah, but that's always a dangerous strategy. Rudy Giuliani tried to do the same thing. Yeah,"
0 days 00:02:58,0 days 00:03:01,SPEAKER 2," when he was waiting on Florida. Yeah, I mean, I always look at that. I'm like,"
0 days 00:03:01,0 days 00:03:04,SPEAKER 2," man, you should be doing some other stuff in the meantime. Oh, absolutely. And so I think what you're"
0 days 00:03:04,0 days 00:03:08,SPEAKER 1," going to see Biden try to do, he releases ethics plan. I think it's a big mistake for Democrats,"
0 days 00:03:08,0 days 00:03:13,SPEAKER 1," like Julian Castro, former HUD secretary to sort of attack Biden on Hunter Biden because what that"
0 days 00:03:13,0 days 00:03:17,SPEAKER 1, does is give a win to Donald Trump because Donald Trump is only making this argument about Hunter
0 days 00:03:17,0 days 00:03:20,SPEAKER 2," when most I mean, we can't sit on your hands and say nothing. So people as"
0 days 00:03:20,0 days 00:03:25,SPEAKER 1," as nothing folks come to his defense, people who just come to his defense saying, you know, we"
0 days 00:03:25,0 days 00:03:29,SPEAKER 1," say, yes, this is about Hunter and how we there's there's there's reporting on both sides that"
0 days 00:03:29,0 days 00:03:33,SPEAKER 1," Hunter has done nothing wrong. And Biden has done nothing wrong. Absolutely, we could talk about"
0 days 00:03:33,0 days 00:03:37,SPEAKER 2, Hunter and not about the legal and doing something wrong. I think you can make the argument that
0 days 00:03:37,0 days 00:03:41,SPEAKER 2, it's wrong. He may not have broken any laws. Absolutely. But there's a difference. But the vice president
0 days 00:03:41,0 days 00:03:45,SPEAKER 2," has done nothing wrong. And he's done nothing illegal. I mean, that's the that's what all the reporting"
0 days 00:03:45,0 days 00:03:49,SPEAKER 2," is. It may not be illegal, but it certainly is wrong. And it's not acceptable for me, the party."
0 days 00:03:49,0 days 00:03:55,SPEAKER 2," But let's look at some of the other candidates who are still in this race. But, you know, barely"
0 days 00:03:55,0 days 00:04:00,SPEAKER 2, hanging on like Kamala Harris. She was one of the more interesting people. California moved up
0 days 00:04:00,0 days 00:04:06,SPEAKER 2," their primary. And that looked like a layup for her that if she could do well in the southeast and,"
0 days 00:04:06,0 days 00:04:11,SPEAKER 2," you know, get sure of some of the states in the far west, she'd be fine. But she just keeps dropping"
0 days 00:04:11,0 days 00:04:16,SPEAKER 1," why? I'm not sure why, but she frankly has been one of the biggest disappointments for especially"
0 days 00:04:16,0 days 00:04:20,SPEAKER 1, Californians that had placed a lot of faith in her. I came from California. She was the talk of the
0 days 00:04:20,0 days 00:04:25,SPEAKER 1," town for so long. For some reason, she hasn't been able, I think, to develop a cohesive policy"
0 days 00:04:25,0 days 00:04:29,SPEAKER 1," to get out there in front where she feels confident, where she sounds confident in it and where she"
0 days 00:04:29,0 days 00:04:34,SPEAKER 1, sounds steady. I think that there was a lot of flip floppy and there was a lot of defensiveness on her
0 days 00:04:34,0 days 00:04:38,SPEAKER 1," part. And I think her attitude, frankly, turned people off from her. And I think as others were"
0 days 00:04:38,0 days 00:04:42,SPEAKER 1," rising, that's where Californians were placing their faith. Earlier, you asked, you know, potential winners"
0 days 00:04:42,0 days 00:04:48,SPEAKER 1," and losers, I do have to say that, that the most to gain tomorrow night in my opinion is may repeat"
0 days 00:04:48,0 days 00:04:53,SPEAKER 1," and Tulsi Gabbard because the situation right now in Syria and Turkey, the two of them having the only"
0 days 00:04:53,0 days 00:04:57,SPEAKER 1," deployment experience on the stage, I hope they will be asked about it. And I will be very interested."
0 days 00:04:57,0 days 00:05:02,SPEAKER 2," You know, and I wrote that down because I want to see what they have to say. Those two in particular,"
0 days 00:05:02,0 days 00:05:05,SPEAKER 2, I don't really care what anyone else has to say about foreign policy because I think they're just
0 days 00:05:05,0 days 00:05:10,SPEAKER 2," going to spout platitudes. But those two, and I hope they give them enough time. And I hope they devote"
0 days 00:05:10,0 days 00:05:16,SPEAKER 2, enough time to foreign policy and don't ask the same stereotypical questions that some of the other
0 days 00:05:16,0 days 00:05:21,SPEAKER 2," moderators have fallen into. And of course, tomorrow night's debate also features billionaire Tom Steyer."
0 days 00:05:21,0 days 00:05:28,SPEAKER 2," Believe it or not, this is his first 2020 debate. A lot of people have absolutely no idea who he is."
0 days 00:05:28,0 days 00:05:33,SPEAKER 2, And he didn't qualify for the last three debates. And he's got the pulling and the donors this go
0 days 00:05:33,0 days 00:05:39,SPEAKER 2, around somehow because he's got a lot of money. But he's got to work awful hard on name recognition.
0 days 00:05:39,0 days 00:05:44,SPEAKER 2," Of course, Tulsi Gabbard. Last week, the Hawaii Congresswoman and a rock war vet threatened to boycott"
0 days 00:05:44,0 days 00:05:49,SPEAKER 2," this debate. She said it was rigged against the lesser-known candidates. But today, she tweeted,"
0 days 00:05:49,0 days 00:05:55,SPEAKER 2," quote, I will be attending the debate. Harump. So which of the one of these is best suited to make a"
0 days 00:05:55,0 days 00:06:01,SPEAKER 2, big leap tomorrow? And how about the rowdy Yang gang? How are they going to be? I still like Andrew Yang
0 days 00:06:01,0 days 00:06:05,SPEAKER 2, in this race. I know he's not going to be president. He's not really going to do anything.
0 days 00:06:05,0 days 00:06:10,SPEAKER 2," But I appreciate his voice and politics. And I like about him, what I like about Donald Trump."
0 days 00:06:10,0 days 00:06:15,SPEAKER 2, He's coming at this entire process from a very unorthodox perspective.
0 days 00:06:15,0 days 00:06:21,SPEAKER 1," Yeah, he's got a little bit of the what the Fletch about him in his approach. And the more you get sick"
0 days 00:06:21,0 days 00:06:26,SPEAKER 1," of at any given moment, the kind of charade of politics and the way that people always talk about"
0 days 00:06:26,0 days 00:06:30,SPEAKER 1," things and the sort of platitudes they get, the more that you want the guy who's not wearing the"
0 days 00:06:30,0 days 00:06:35,SPEAKER 1, tie. Dress is basically like Richard Fowler. He's from the Richard Fowler collection.
0 days 00:06:37,0 days 00:06:43,SPEAKER 1, And just like has a rag bag of mostly crazy and occasionally pretty interesting ideas there.
0 days 00:06:43,0 days 00:06:47,SPEAKER 1," But who just at any time you hear him talk, you sort of hear the needle scratching across the record"
0 days 00:06:47,0 days 00:06:51,SPEAKER 1," in a way that you don't with Amy Klobuchar, for example. So I think there's a lot of the lesser-known"
0 days 00:06:51,0 days 00:06:56,SPEAKER 1, candidates who don't really have a big different selling proposition of why they're still kind of
0 days 00:06:56,0 days 00:07:00,SPEAKER 1, bouncing around here. So I think it'll be someone who's more kind of a rando like Yang.
0 days 00:07:00,0 days 00:07:05,SPEAKER 2," Who has a chance to go up or to see if a message gets in. And you know, Andrea Yang has tried"
0 days 00:07:05,0 days 00:07:10,SPEAKER 2," to go for those big moments. Tom Steyer absolutely has to because yes, Democrats know who he is because"
0 days 00:07:10,0 days 00:07:15,SPEAKER 2," he's got a lot of money. And he's a one or two issue kind of guy, particularly climate change"
0 days 00:07:15,0 days 00:07:21,SPEAKER 2, and impeachment. But he has to really define who he is as a person for anyone to latch on to a
0 days 00:07:21,0 days 00:07:26,SPEAKER 2, political campaign because there's a big difference between having money and influence and actually
0 days 00:07:26,0 days 00:07:30,SPEAKER 2, making an emotional connection with voters. Absolutely. This is a make or break moment for Tom Steyer.
0 days 00:07:30,0 days 00:07:34,SPEAKER 1," This would be his first debate. This could be his last debate. He's put up a lot of commercials,"
0 days 00:07:34,0 days 00:07:38,SPEAKER 1, a lot of ads. We will have seen his face all across the country because he's running a big ad. He's
0 days 00:07:38,0 days 00:07:43,SPEAKER 1, doing a lot of bad buys. Will this translate on the debates we'll have to see. He should start doing
0 days 00:07:43,0 days 00:07:47,SPEAKER 2," TikToks. Yeah, he should. Hopefully. I think the people watch. Yeah. And I mean, I think also for"
0 days 00:07:47,0 days 00:07:50,SPEAKER 1," something like a Kamala Harris, I think the reason why she's having so much trouble getting started"
0 days 00:07:50,0 days 00:07:54,SPEAKER 1," is because if you talk to progressive based voters, she sounds like a prosecutor. And prosecutors"
0 days 00:07:54,0 days 00:07:59,SPEAKER 1, vary on popular or vary on popular to progressives because it speaks to this lack of criminal justice
0 days 00:07:59,0 days 00:08:03,SPEAKER 1, reform. It speaks to the fact that we have this prison industrial complex that does not work with
0 days 00:08:03,0 days 00:08:07,SPEAKER 2," progressive voters. And she can't have it both ways on. No, she cannot. She tries. She tries really hard."
0 days 00:08:07,0 days 00:08:12,SPEAKER 1," And it does not really work well for her. Yeah, her entire record in California was that day."
0 days 00:08:12,0 days 00:08:16,SPEAKER 1, She was never a prosecutor. This is the problem. So I think although she may re-like that to
0 days 00:08:16,0 days 00:08:21,SPEAKER 1," progress. In general, you're a prosecutor. Uh, the top cop. Yeah. She's a prosecutor. She was"
0 days 00:08:21,0 days 00:08:24,SPEAKER 1, right. But her record did not reflect at the time. She was always trying to be a progressive
0 days 00:08:24,0 days 00:08:28,SPEAKER 1," prosecutor. And that's never really. Except for the people that you put in the prison for a long time,"
0 days 00:08:28,0 days 00:08:37,SPEAKER 1," who she blocked from having exactly, exactly, exactly 100%. And if I could make a quick point on my"
0 days 00:08:37,0 days 00:08:41,SPEAKER 1," thoughts just on Elizabeth Warren, I think it's really interesting that this week, she's come out and"
0 days 00:08:41,0 days 00:08:46,SPEAKER 1, identified as her target Facebook. And really in this kind of concert. What does that do for her?
0 days 00:08:46,0 days 00:08:50,SPEAKER 1," Well, I think it really releases her above the fray. So she's basically sitting there and saying,"
0 days 00:08:50,0 days 00:08:54,SPEAKER 1, this is what I'm going to continue doing for you as president. This is what I think is so much more
0 days 00:08:54,0 days 00:08:59,SPEAKER 1, important rather than these other people on the stage. I'm focusing on the common enemy we all have.
0 days 00:08:59,0 days 00:09:04,SPEAKER 2," So she, the only one who's pretending like she's actually president and going after the idea is that"
0 days 00:09:04,0 days 00:09:10,SPEAKER 1," she thinks are most critical. I think the only one who might also be doing that is Bernie Sanders,"
0 days 00:09:10,0 days 00:09:15,SPEAKER 1," who I believe will take his heart attack in a situation, pivot it towards the necessity on his"
0 days 00:09:15,0 days 00:09:23,SPEAKER 1," point of view for Medicare for all, show that he has the the shining the energy to be successful."
0 days 00:09:23,0 days 00:09:28,SPEAKER 1," As a commander in chief in that Oval Office, and also the fact that he's differentiating himself so"
0 days 00:09:28,0 days 00:09:33,SPEAKER 1," hardcore from Elizabeth Warren this week to say, don't give up on me voters. Don't go to her. She's a"
0 days 00:09:33,0 days 00:09:38,SPEAKER 1, capitalist. Stay with me and I'll come to you. But I think who doesn't want to be a capitalist?
0 days 00:09:38,0 days 00:09:43,SPEAKER 1, Not nobody who's going to ever be a president of the United States of America. That clip shows why he's
0 days 00:09:43,0 days 00:09:50,SPEAKER 2," going to lose to Elizabeth Warren. That's what I was I watched and I'm like, that helps her with moderate"
0 days 00:09:50,0 days 00:09:55,SPEAKER 2," Democrats and undecided independence. She can get Biden voters because she says, oh, I'm a"
0 days 00:09:55,0 days 00:10:00,SPEAKER 1, capitalist and then everything she does is she's stepping. And I think she wants to regulate the space
0 days 00:10:00,0 days 00:10:04,SPEAKER 1, between this phone and your pens. She wants to regulate absolutely. And I think that's what we also
0 days 00:10:04,0 days 00:10:08,SPEAKER 1, heard from voters when they called on the show today on serious progress is people who are Biden's
0 days 00:10:08,0 days 00:10:12,SPEAKER 1, supporters says I will also vote for Elizabeth Warren. So I think between these two men's it's Elizabeth
0 days 00:10:12,0 days 00:10:17,SPEAKER 1," Warren as this third choice, the second choice of both Biden voters and Bernie voters. I just think"
0 days 00:10:17,0 days 00:10:22,SPEAKER 2, it's interesting that that Bernie's not going after Biden the way he's going after Liz that he
0 days 00:10:22,0 days 00:10:27,SPEAKER 2, knows he has to make a big move. She is the biggest threat. He's still got a lot of money. He doesn't
0 days 00:10:27,0 days 00:10:31,SPEAKER 2," have to get out of the race right now. He's not like some of these, you know, like Eric Swalwell who's"
0 days 00:10:31,0 days 00:10:35,SPEAKER 2," just run out of money and never had any good will. So I mean, there's a lot of candidates in this"
0 days 00:10:35,0 days 00:10:38,SPEAKER 1," field that have a lot of money that won't have to get this race. I mean, I think we want I think"
0 days 00:10:38,0 days 00:10:42,SPEAKER 1, there's a lot of president John Delaney. Beto to get out this race. Beto will rock together this race.
0 days 00:10:42,0 days 00:10:46,SPEAKER 1, But Beto has 20 million dollars left. So who'll be in this race for the foreseeable future.
0 days 00:10:46,0 days 00:10:50,SPEAKER 1, And don't forget CBS has Elizabeth Warren leading by eight points in New Hampshire. So you mentioned
0 days 00:10:50,0 days 00:10:54,SPEAKER 1, earlier South Carolina and Biden kind of hanging his hopes on that. There are a lot of other states that
0 days 00:10:54,0 days 00:10:59,SPEAKER 2," seem to be having her hardcore. Yes, and I'm sure that Bernie thought that he was just going to"
0 days 00:10:59,0 days 00:11:10,SPEAKER 2, sew up New Hampshire. Like he's darting his socks. Part of panel returns a little bit later.
