Start,End,Speaker,Text
0 days 00:02:15,0 days 00:02:16,SPEAKER 2, it.
0 days 00:02:16,0 days 00:02:21,SPEAKER 2, It's just Scarborough looking absolutely distraught with the Democratic field.
0 days 00:02:21,0 days 00:02:23,SPEAKER 1, Last night was a disaster for the Democratic party.
0 days 00:02:23,0 days 00:02:30,SPEAKER 1," It is a position of every Democrat on that stage that illegal immigrants, if they cross the"
0 days 00:02:30,0 days 00:02:33,SPEAKER 1," border illegally, should get health care for life."
0 days 00:02:33,0 days 00:02:38,SPEAKER 1," It is them, the position of every Democrat on that stage."
0 days 00:02:38,0 days 00:02:43,SPEAKER 1," Then if they cross the border illegally, it's not even illegal anymore."
0 days 00:02:43,0 days 00:02:46,SPEAKER 1," But that loses Wisconsin, that loses Pennsylvania, that loses"
0 days 00:02:46,0 days 00:02:50,SPEAKER 1," Florida, that loses North Carolina, and it may lose Virginia."
0 days 00:02:50,0 days 00:02:54,SPEAKER 2," And of course, the president himself didn't miss an opportunity to pounce on his rivals"
0 days 00:02:54,0 days 00:02:56,SPEAKER 2, from the G20 summit in Japan.
0 days 00:02:56,0 days 00:03:02,SPEAKER 1," I've been watching the debates a little bit in between meetings, and I wasn't impressed."
0 days 00:03:02,0 days 00:03:06,SPEAKER 1," But when you look at the socialism and you look at what it can do, that's what you're talking"
0 days 00:03:06,0 days 00:03:07,SPEAKER 1, about there.
0 days 00:03:07,0 days 00:03:09,SPEAKER 1, And that's become like the socialist party.
0 days 00:03:09,0 days 00:03:14,SPEAKER 1," In fact, I heard this a room with the Democrats are going to change the name of the party from"
0 days 00:03:14,0 days 00:03:16,SPEAKER 1, the Democratic party to the socialist party.
0 days 00:03:16,0 days 00:03:17,SPEAKER 1, I'm hearing that for sure.
0 days 00:03:17,0 days 00:03:18,SPEAKER 1, Let's see if they do it.
0 days 00:03:18,0 days 00:03:19,SPEAKER 2," All right, Dana."
0 days 00:03:19,0 days 00:03:23,SPEAKER 2, Did the Democrats commit political suicide the last two nights?
0 days 00:03:23,0 days 00:03:28,SPEAKER 1," Well, there are nine more debates, and I think 31 weeks before the first voting takes place"
0 days 00:03:28,0 days 00:03:30,SPEAKER 1, in the Iowa caucuses.
0 days 00:03:30,0 days 00:03:36,SPEAKER 1," So I would say that if this past two days didn't feel too good for the Democrats, they've got"
0 days 00:03:36,0 days 00:03:41,SPEAKER 1," some opportunities, but it's hard to make a first impression over and over again and to change"
0 days 00:03:41,0 days 00:03:42,SPEAKER 1, people's minds.
0 days 00:03:42,0 days 00:03:46,SPEAKER 1," I do think that they narrowed down the field a little bit over the last two nights, and"
0 days 00:03:46,0 days 00:03:51,SPEAKER 1, so I think they probably have a plausible six out of the 20 that were on stage.
0 days 00:03:51,0 days 00:03:54,SPEAKER 1," Now, there are a couple who were not on stage that will be on the next stage like Governor"
0 days 00:03:54,0 days 00:03:56,SPEAKER 1, Steve Bullock of Montana.
0 days 00:03:56,0 days 00:04:00,SPEAKER 1, I think some of these candidates will have find it very hard to keep up the pretense that
0 days 00:04:00,0 days 00:04:03,SPEAKER 1, they have a full-time campaign that is operational.
0 days 00:04:03,0 days 00:04:07,SPEAKER 1," This idea that anyone can win after these last two nights, I think that goes away."
0 days 00:04:07,0 days 00:04:09,SPEAKER 2, Who do you think your top six are after these two days?
0 days 00:04:09,0 days 00:04:13,SPEAKER 1," I haven't written down my top six, but I think they're obviously that your frontrunners"
0 days 00:04:13,0 days 00:04:19,SPEAKER 1," Biden, Bernie, Elizabeth Warren, Kamala Harris, I want to keep Buttigieg in there, and then"
0 days 00:04:19,0 days 00:04:24,SPEAKER 1," I think it's a, you could go with like a book or a Castro, perhaps one of the governors."
0 days 00:04:24,0 days 00:04:25,SPEAKER 2," Greg, you look disgusting."
0 days 00:04:25,0 days 00:04:32,SPEAKER 1," No, Mary and Williamson, no, Mary and Williamson, you're clearly shooting the frontrunner."
0 days 00:04:32,0 days 00:04:34,SPEAKER 1, I feel like I only wanted to read her book Return to Love.
0 days 00:04:34,0 days 00:04:35,SPEAKER 1, Yeah.
0 days 00:04:35,0 days 00:04:38,SPEAKER 1," Well, you know, I don't have to read her book when I can feel her in my soul."
0 days 00:04:38,0 days 00:04:40,SPEAKER 1, I feel her in my very soul.
0 days 00:04:40,0 days 00:04:46,SPEAKER 1," It's the last night she was speaking to me and to me only that I was made of love, and"
0 days 00:04:46,0 days 00:04:49,SPEAKER 1, that I could float above the earth as a big ball of love.
0 days 00:04:49,0 days 00:04:50,SPEAKER 1, I'm voting for her.
0 days 00:04:50,0 days 00:04:51,SPEAKER 1, I'm switching parties.
0 days 00:04:51,0 days 00:04:53,SPEAKER 1, I don't even know if I'm in a party.
0 days 00:04:53,0 days 00:04:55,SPEAKER 1," Anyway, do you want me to go?"
0 days 00:04:55,0 days 00:04:56,SPEAKER 1," Yeah, please."
0 days 00:04:56,0 days 00:04:57,SPEAKER 2," Okay, policy wise."
0 days 00:04:57,0 days 00:04:58,SPEAKER 1, I'll continue.
0 days 00:04:58,0 days 00:05:03,SPEAKER 1," Policy wise, the big problem here is that for progressive policies to survive, you have"
0 days 00:05:03,0 days 00:05:05,SPEAKER 1, to ignore the concept of incentives.
0 days 00:05:05,0 days 00:05:06,SPEAKER 1," So that's how I mean, it's great."
0 days 00:05:06,0 days 00:05:11,SPEAKER 1, You can support Amnesty for all undocumented aliens and make it legal to cross the borders
0 days 00:05:11,0 days 00:05:14,SPEAKER 1, and offer huge safety nets when they get here.
0 days 00:05:14,0 days 00:05:20,SPEAKER 1," If you don't understand the consequences of incentives, because you just incentivize everybody"
0 days 00:05:20,0 days 00:05:24,SPEAKER 1," to come here at once, and if you thought that those caravans were a problem and the people"
0 days 00:05:24,0 days 00:05:28,SPEAKER 1," suffering and the people dying, you wait if this ever happens because it's just going"
0 days 00:05:28,0 days 00:05:31,SPEAKER 1, to be crazy town now to be actual debate itself.
0 days 00:05:31,0 days 00:05:33,SPEAKER 1, I wanted to bury my head in my hands.
0 days 00:05:33,0 days 00:05:37,SPEAKER 1, It sounded like a room full of obnoxious jury foreman.
0 days 00:05:37,0 days 00:05:40,SPEAKER 1," You know, like the person who believes he's right on everything, and they're all talking"
0 days 00:05:40,0 days 00:05:41,SPEAKER 1, at once.
0 days 00:05:41,0 days 00:05:45,SPEAKER 1," And I have to blame the structure, and I know it's pointless to bring this up because no"
0 days 00:05:45,0 days 00:05:46,SPEAKER 1, one listens.
0 days 00:05:46,0 days 00:05:47,SPEAKER 1, They do the same thing.
0 days 00:05:47,0 days 00:05:52,SPEAKER 1," They use the same format, but the format is designed to narrow substance, right, because"
0 days 00:05:52,0 days 00:05:53,SPEAKER 1, you have 10 people.
0 days 00:05:53,0 days 00:05:54,SPEAKER 1, So it gets narrow and narrow.
0 days 00:05:54,0 days 00:05:59,SPEAKER 1," And then it forces people to go for applause lines or gotcha lines, right?"
0 days 00:05:59,0 days 00:06:00,SPEAKER 1, So they have it.
0 days 00:06:00,0 days 00:06:02,SPEAKER 1, So sometimes it works.
0 days 00:06:02,0 days 00:06:03,SPEAKER 1, It works.
0 days 00:06:03,0 days 00:06:08,SPEAKER 1," Comola's thing about the food fight worked, but it's just, so you have somebody like Yang,"
0 days 00:06:08,0 days 00:06:10,SPEAKER 1," who's just kind of like, you know, he's gone."
0 days 00:06:10,0 days 00:06:11,SPEAKER 2, He's got a question three minutes to talk about.
0 days 00:06:11,0 days 00:06:14,SPEAKER 1," Yeah, but you know, but he should have, you know what?"
0 days 00:06:14,0 days 00:06:14,SPEAKER 1, He didn't wear a tie.
0 days 00:06:14,0 days 00:06:16,SPEAKER 2, I thought that was a good look.
0 days 00:06:16,0 days 00:06:19,SPEAKER 1," I thought it was kind of a good look too, but maybe that was it."
0 days 00:06:19,0 days 00:06:21,SPEAKER 1," Maybe the moderators are like, no tie, no question."
0 days 00:06:21,0 days 00:06:23,SPEAKER 2," Yeah, that's all he had was the no tie."
0 days 00:06:23,0 days 00:06:26,SPEAKER 2, I want just looking at it politically.
0 days 00:06:26,0 days 00:06:29,SPEAKER 2, Forget about how you believe inside politically.
0 days 00:06:29,0 days 00:06:33,SPEAKER 2," If you're in these races, as Joe Scarborough said in the rust belt, and the top of the"
0 days 00:06:33,0 days 00:06:37,SPEAKER 2," ticket says, we're going to take away your private health care and we're going to give it to"
0 days 00:06:37,0 days 00:06:38,SPEAKER 2, illegal.
0 days 00:06:38,0 days 00:06:41,SPEAKER 2," Oh, yeah, and we're going to confiscate your guns and pay reparations, gay reparations,"
0 days 00:06:41,0 days 00:06:44,SPEAKER 2, and global warming is the biggest geopolitical threat.
0 days 00:06:44,0 days 00:06:48,SPEAKER 2," These other senators and congressmen, they're going to have to distance themselves from the"
0 days 00:06:48,0 days 00:06:49,SPEAKER 2, top of the Democratic ticket.
0 days 00:06:49,0 days 00:06:51,SPEAKER 2, It's going to be that dangerous.
0 days 00:06:51,0 days 00:06:52,SPEAKER 1," If Jesse was voting, they would."
0 days 00:06:52,0 days 00:06:53,SPEAKER 1, But guess what?
0 days 00:06:53,0 days 00:06:56,SPEAKER 1, They're more Democrats in the country than Republicans.
0 days 00:06:56,0 days 00:06:57,SPEAKER 1, And guess what?
0 days 00:06:57,0 days 00:07:03,SPEAKER 1," This was a Democratic primary debate, Jesse, and most Americans, by the way, agree with"
0 days 00:07:03,0 days 00:07:09,SPEAKER 1," those people on stage about Medicare for all, about helping young people to pay for their"
0 days 00:07:09,0 days 00:07:10,SPEAKER 1, education.
0 days 00:07:10,0 days 00:07:11,SPEAKER 1, The wrong.
0 days 00:07:11,0 days 00:07:12,SPEAKER 1, Just look at the polls.
0 days 00:07:12,0 days 00:07:13,SPEAKER 1, It's not about me.
0 days 00:07:13,0 days 00:07:14,SPEAKER 1, I'm just telling you.
0 days 00:07:14,0 days 00:07:16,SPEAKER 2, Look at the fact that people have this private health care.
0 days 00:07:16,0 days 00:07:19,SPEAKER 2," You're saying all those people say, yeah, let's take it away and give it to the government."
0 days 00:07:19,0 days 00:07:23,SPEAKER 1," It's made this point to me time and again that once you say Medicare for all, yes, it's"
0 days 00:07:23,0 days 00:07:24,SPEAKER 1, very popular.
0 days 00:07:24,0 days 00:07:28,SPEAKER 1," You start taking away and then there's lots of arguments, but the premise is Republicans"
0 days 00:07:28,0 days 00:07:35,SPEAKER 1, have nothing zero in terms of repeal and replace after two years of all Republicans in the House
0 days 00:07:35,0 days 00:07:37,SPEAKER 1, and Senate and a Republican White House.
0 days 00:07:37,0 days 00:07:38,SPEAKER 1," No solutions, no hell."
0 days 00:07:38,0 days 00:07:41,SPEAKER 2, You're comfortable with these very shows these Democrats are taking.
0 days 00:07:41,0 days 00:07:46,SPEAKER 1," Oh, I love listening because I still interesting to me to see this as almost like a civic exercise."
0 days 00:07:46,0 days 00:07:51,SPEAKER 1," Oh, this is how Republicans saw a debate that attracted, I believe was 17 million or 15 million"
0 days 00:07:51,0 days 00:07:56,SPEAKER 1," on Wednesday, 17 million yesterday, it said a record in that sense, just a tremendous"
0 days 00:07:56,0 days 00:07:57,SPEAKER 1, success.
0 days 00:07:57,0 days 00:07:58,SPEAKER 1, What record?
0 days 00:07:58,0 days 00:07:59,SPEAKER 1, Let me check.
0 days 00:07:59,0 days 00:08:00,SPEAKER 1, But let me finish off.
0 days 00:08:00,0 days 00:08:01,SPEAKER 1," Democrats, maybe not the Republicans."
0 days 00:08:01,0 days 00:08:02,SPEAKER 1, Republicans got more.
0 days 00:08:02,0 days 00:08:03,SPEAKER 1, I remember that.
0 days 00:08:03,0 days 00:08:04,SPEAKER 1," No, no, no, no."
0 days 00:08:04,0 days 00:08:05,SPEAKER 1, Republican.
0 days 00:08:05,0 days 00:08:06,SPEAKER 1, That's a record for Democrats.
0 days 00:08:06,0 days 00:08:07,SPEAKER 1, That's the thing.
0 days 00:08:07,0 days 00:08:08,SPEAKER 1, That's the thing.
0 days 00:08:08,0 days 00:08:13,SPEAKER 1," This is a Democratic debate, you guys, which is why there is a talk of incentive."
0 days 00:08:13,0 days 00:08:19,SPEAKER 1, It just strikes me that when you have a situation where you have a Democratic primary and
0 days 00:08:19,0 days 00:08:24,SPEAKER 1," you have Democrats speaking to their supporters, it's a success."
0 days 00:08:24,0 days 00:08:26,SPEAKER 1," And I think, you know, Yang was the biggest disappointment."
0 days 00:08:26,0 days 00:08:28,SPEAKER 1, I thought he was going to be a breakout star there.
0 days 00:08:28,0 days 00:08:29,SPEAKER 1, He was not.
0 days 00:08:29,0 days 00:08:30,SPEAKER 1, He had nothing.
0 days 00:08:30,0 days 00:08:34,SPEAKER 1," Marianne Williamson, I don't make sure why she's on the stage, but I got to tell you something."
0 days 00:08:34,0 days 00:08:36,SPEAKER 1, So many people today were like talking about Marianne Williamson.
0 days 00:08:36,0 days 00:08:37,SPEAKER 2," All right, Katie."
0 days 00:08:37,0 days 00:08:38,SPEAKER 1, Everyone's Googling her.
0 days 00:08:38,0 days 00:08:40,SPEAKER 1," Yeah, I want to know where she came from."
0 days 00:08:40,0 days 00:08:44,SPEAKER 2," One seems to think by saying, if you like your health care, you can't keep your health care."
0 days 00:08:44,0 days 00:08:46,SPEAKER 2, It's going to help Democrats.
0 days 00:08:46,0 days 00:08:49,SPEAKER 1, So a lot of the polling shows that Democrats want someone who can
0 days 00:08:49,0 days 00:08:50,SPEAKER 1, beat Donald Trump.
0 days 00:08:50,0 days 00:08:53,SPEAKER 1, What we saw over the past two nights is not the way to do it.
0 days 00:08:53,0 days 00:08:59,SPEAKER 1," When you're talking about stripping 250 million people in America, which is the majority"
0 days 00:08:59,0 days 00:09:03,SPEAKER 1," of the country, of their private insurance and then turning right around and saying, but"
0 days 00:09:03,0 days 00:09:06,SPEAKER 1, illegal aliens are going to get health insurance on your back.
0 days 00:09:06,0 days 00:09:07,SPEAKER 1, Right.
0 days 00:09:07,0 days 00:09:08,SPEAKER 1, So you're going to pay for it.
0 days 00:09:08,0 days 00:09:09,SPEAKER 1, That's a problem.
0 days 00:09:09,0 days 00:09:13,SPEAKER 1," Democrats, I'm not sure how they reconcile this idea of trying to make an argument about"
0 days 00:09:13,0 days 00:09:19,SPEAKER 1," the working class and the economy while pushing factory killing, climate change plans."
0 days 00:09:19,0 days 00:09:23,SPEAKER 1, So how do they reconcile promoting illegal immigration while also saying that they're
0 days 00:09:23,0 days 00:09:27,SPEAKER 1, for the working class and raising the minimum wage and raising wages when illegal immigration
0 days 00:09:27,0 days 00:09:29,SPEAKER 1, suppresses those wages?
0 days 00:09:29,0 days 00:09:30,SPEAKER 1, That's going to be a huge problem.
0 days 00:09:30,0 days 00:09:36,SPEAKER 1," And when Democrats stand up and they all raise their hand and say, we want health insurance"
0 days 00:09:36,0 days 00:09:41,SPEAKER 1," paid for by taxpayers, including for abortion for illegal aliens, the question becomes, who"
0 days 00:09:41,0 days 00:09:42,SPEAKER 1, are they really standing up for?
0 days 00:09:42,0 days 00:09:46,SPEAKER 1," And President Trump has been very good about talking directly to people and saying, I'm standing"
0 days 00:09:46,0 days 00:09:51,SPEAKER 1," up for Americans, I'm standing up for you, and Democrats seem to be trying to split"
0 days 00:09:51,0 days 00:09:56,SPEAKER 1," this conversation about, well, we're for the American worker, but we're also for all these"
0 days 00:09:56,0 days 00:09:58,SPEAKER 1," people who have come here legally and broken the laws, it's, by the way, we don't think"
0 days 00:09:58,0 days 00:10:00,SPEAKER 1, should be laws anymore.
0 days 00:10:00,0 days 00:10:02,SPEAKER 1, Maybe they're standing up for American values.
0 days 00:10:02,0 days 00:10:05,SPEAKER 1," Maybe it's the case that the incentive, you guys think it's incentive to say-"
0 days 00:10:05,0 days 00:10:06,SPEAKER 1, So open borders are no sovereign.
0 days 00:10:06,0 days 00:10:12,SPEAKER 1," There's no, but the incentive, the, you say the incentive is, oh, because they might get"
0 days 00:10:12,0 days 00:10:13,SPEAKER 1, health care here.
0 days 00:10:13,0 days 00:10:18,SPEAKER 1," First, they're like 10 or 11 million people already here, and then the second thing is"
0 days 00:10:18,0 days 00:10:22,SPEAKER 1, the real reason that they're leaving is not because of any incentive here.
0 days 00:10:22,0 days 00:10:23,SPEAKER 1, The real reason is about-
0 days 00:10:23,0 days 00:10:24,SPEAKER 1," No, but they're not going to open."
0 days 00:10:24,0 days 00:10:27,SPEAKER 1," They're going to start to leave, so I guess that's not an incentive."
0 days 00:10:27,0 days 00:10:30,SPEAKER 2," Listen, one seems to think they're on track, so let them."
0 days 00:10:30,0 days 00:10:31,SPEAKER 1, Thank you.
0 days 00:10:31,0 days 00:10:33,SPEAKER 2," Donald Trump's the centrist now, all right?"
0 days 00:10:33,0 days 00:10:34,SPEAKER 2, Look what you did.
