Start,End,Speaker,Text
0 days 00:02:03,0 days 00:02:05,SPEAKER 2, It's a lot harder to prove than negligence.
0 days 00:02:05,0 days 00:02:09,SPEAKER 2, Do you think you got those already in the bag?
0 days 00:02:09,0 days 00:02:13,SPEAKER 1," It is harder to prove, but of course, we look forward to proving that at trial."
0 days 00:02:13,0 days 00:02:17,SPEAKER 1," And of course, CNN and these other publications knew that their false statements were false"
0 days 00:02:17,0 days 00:02:22,SPEAKER 1, at the time that they published them and published them with intentional disregard for the truth.
0 days 00:02:22,0 days 00:02:27,SPEAKER 1," And so, here, although this was published in the context of an opinion piece, the court"
0 days 00:02:27,0 days 00:02:33,SPEAKER 1, has also had a long precedent of case law that just because you couch a statement as opinion
0 days 00:02:33,0 days 00:02:36,SPEAKER 1, doesn't mean that you can assert and make false statements a fact.
0 days 00:02:36,0 days 00:02:41,SPEAKER 1," The court will look at each individual statement and determine, is this a statement of opinion"
0 days 00:02:41,0 days 00:02:42,SPEAKER 1, or is this an assertion a fact?
0 days 00:02:42,0 days 00:02:47,SPEAKER 1," And here in the CNN, the New York Times and the Washington Post pieces, all of their statements"
0 days 00:02:47,0 days 00:02:51,SPEAKER 1, are provably false and their factual statements that were absolutely false and defamatory.
0 days 00:02:51,0 days 00:02:55,SPEAKER 2, Now would you respond to those that think that the president is trying to and the campaign
0 days 00:02:55,0 days 00:02:59,SPEAKER 2," is trying to muzzle media outlets, they're not like."
0 days 00:02:59,0 days 00:03:00,SPEAKER 1, Not at all.
0 days 00:03:00,0 days 00:03:03,SPEAKER 1," And so, this is the campaign that's filing these suits, not the president."
0 days 00:03:03,0 days 00:03:08,SPEAKER 1," And also, the freedom of press, we, of course, value and we have the freest, fairest press,"
0 days 00:03:08,0 days 00:03:12,SPEAKER 1, but that doesn't shield the press to make false statements.
0 days 00:03:12,0 days 00:03:18,SPEAKER 1," And so, of course, that's why the law allows for libel suits and to hold these media outlets"
0 days 00:03:18,0 days 00:03:23,SPEAKER 1, responsible when they publish false statements because the public deserves to have the truth
0 days 00:03:23,0 days 00:03:25,SPEAKER 1, and not these false statements.
0 days 00:03:25,0 days 00:03:29,SPEAKER 1," And so, we have to go to court because they're unwilling to retract these statements."
0 days 00:03:29,0 days 00:03:33,SPEAKER 2," You just said, you know, we had the freest, what fairest press, but you know, the president"
0 days 00:03:33,0 days 00:03:39,SPEAKER 2," calls on the enemy to the people during his rally, as he points out to all the cameras behind"
0 days 00:03:39,0 days 00:03:42,SPEAKER 2, the audience and slams the media.
0 days 00:03:42,0 days 00:03:47,SPEAKER 1," Well, the law, so the freest, fairest press in the sense that the law and the First Amendment"
0 days 00:03:47,0 days 00:03:49,SPEAKER 1, is absolutely fair to the press.
0 days 00:03:49,0 days 00:03:53,SPEAKER 1, It doesn't mean that the press itself has been fair to the campaign or to the president.
0 days 00:03:53,0 days 00:03:59,SPEAKER 1," Clearly, here you have three giant media outlets that have published with reckless disregard"
0 days 00:03:59,0 days 00:04:00,SPEAKER 1, for the truth.
0 days 00:04:00,0 days 00:04:04,SPEAKER 1," And so, they need to be held accountable as well, and their readers should not be intentionally"
0 days 00:04:04,0 days 00:04:05,SPEAKER 1, misinformed.
0 days 00:04:05,0 days 00:04:06,SPEAKER 2, Do you see an end?
0 days 00:04:06,0 days 00:04:07,SPEAKER 2, Is not publicly commenting on this quickly?
0 days 00:04:07,0 days 00:04:09,SPEAKER 2, What do you think is going to happen?
0 days 00:04:09,0 days 00:04:13,SPEAKER 1," Well, we look forward to proving this at trial, and I think that we will absolutely"
0 days 00:04:13,0 days 00:04:14,SPEAKER 1, prevail.
0 days 00:04:14,0 days 00:04:15,SPEAKER 2," All right, Jenna."
0 days 00:04:15,0 days 00:04:17,SPEAKER 2, We'll see you as we go through the courts.
0 days 00:04:17,0 days 00:04:18,SPEAKER 1, Thank you so much.
0 days 00:04:18,0 days 00:04:19,SPEAKER 1, Thank you for covering this area.
0 days 00:04:19,0 days 00:04:20,SPEAKER 1, Of course.
