Start,End,Speaker,Text
0 days 00:04:52,0 days 00:04:56,SPEAKER 1," as they would today, and then it adds an additional point-space system."
0 days 00:04:56,0 days 00:05:04,SPEAKER 1," The people who have been hurt the most, the people who have been hurt the most by the policy"
0 days 00:05:04,0 days 00:05:10,SPEAKER 1," you're advocating are apparently just unfettered, uncontrolled migration."
0 days 00:05:10,0 days 00:05:14,SPEAKER 1," The people who have been hurt the most by the policy, the people who have been hurt the"
0 days 00:05:14,0 days 00:05:19,SPEAKER 1," most by the policy, the people who have been hurt the most by the policy you're advocating."
0 days 00:05:19,0 days 00:05:23,SPEAKER 1," Our immigrant workers, and minority workers, and African-American workers, and Hispanic"
0 days 00:05:23,0 days 00:05:24,SPEAKER 1, workers.
0 days 00:05:24,0 days 00:05:25,SPEAKER 1, And it has no...
0 days 00:05:25,0 days 00:05:26,SPEAKER 1, You brought it up again.
0 days 00:05:26,0 days 00:05:29,SPEAKER 1, You said you wanted to have a conversation and not target.
0 days 00:05:29,0 days 00:05:30,SPEAKER 1, Is it going to be a target?
0 days 00:05:30,0 days 00:05:31,SPEAKER 1, This is what we want to do.
0 days 00:05:31,0 days 00:05:35,SPEAKER 1," You're saying the African-American community, are you going to target?"
0 days 00:05:35,0 days 00:05:36,SPEAKER 1, I'm not trying to be funny.
0 days 00:05:36,0 days 00:05:37,SPEAKER 1, Right.
0 days 00:05:37,0 days 00:05:38,SPEAKER 1, I know what you're saying.
0 days 00:05:38,0 days 00:05:40,SPEAKER 1, What you're saying is 100% correct.
0 days 00:05:40,0 days 00:05:44,SPEAKER 1," You want to help unemployed African-Americans in this country, and unemployed workers of"
0 days 00:05:44,0 days 00:05:50,SPEAKER 1," all backgrounds get jobs, and insinuations like Jim made trying to ascribe nefarious motives"
0 days 00:05:50,0 days 00:05:56,SPEAKER 1, to a compassion immigration measure designed to help newcomers and current arrivals alike
0 days 00:05:56,0 days 00:05:57,SPEAKER 1, is wrong.
0 days 00:05:57,0 days 00:06:04,SPEAKER 1," And this is a positive optimism proposal that says 10 years, 20 years, 30 years from now,"
0 days 00:06:04,0 days 00:06:09,SPEAKER 1," 10 years, 20 years, 30 years from now, we want to have an immigration system that takes"
0 days 00:06:09,0 days 00:06:13,SPEAKER 1, care of the people who are coming here and the people who are already living here by
0 days 00:06:13,0 days 00:06:19,SPEAKER 1," having standards, by having a real clear requirement that you be able to support yourself financially"
0 days 00:06:19,0 days 00:06:22,SPEAKER 1, by making sure that employers can pay a living wage.
0 days 00:06:22,0 days 00:06:26,SPEAKER 1," That's the right policy for our country, and it's the president's commitment to taking care"
0 days 00:06:26,0 days 00:06:27,SPEAKER 1, of American workers.
0 days 00:06:27,0 days 00:06:33,SPEAKER 1," I apologize, Jim, if things got heated, but you did make some pretty rough insinuations."
0 days 00:06:33,0 days 00:06:34,SPEAKER 1, So thank you.
0 days 00:06:34,0 days 00:06:35,SPEAKER 1, I don't know what you're saying.
0 days 00:06:35,0 days 00:06:36,SPEAKER 1, I don't know what you're saying.
0 days 00:06:36,0 days 00:06:37,SPEAKER 1, I don't know what you're saying.
0 days 00:06:37,0 days 00:06:38,SPEAKER 1, I don't know what you're saying.
