Start,End,Speaker,Text
0 days 00:03:17,0 days 00:03:18,SPEAKER 2, Because we can do one specific thing.
0 days 00:03:18,0 days 00:03:21,SPEAKER 1, That's where this whole phony movement started.
0 days 00:03:21,0 days 00:03:22,SPEAKER 1, It started out as hands up.
0 days 00:03:22,0 days 00:03:23,SPEAKER 2, It started out as hands up.
0 days 00:03:23,0 days 00:03:24,SPEAKER 1, You talk about black lives matter.
0 days 00:03:24,0 days 00:03:25,SPEAKER 2, Right.
0 days 00:03:25,0 days 00:03:26,SPEAKER 2, Okay.
0 days 00:03:26,0 days 00:03:32,SPEAKER 2, So if you would need to speak to someone who is a member of Black Lives Matter about whether
0 days 00:03:32,0 days 00:03:36,SPEAKER 2," they have perpetrated a fraud on the American people, that's up to black lives matter."
0 days 00:03:36,0 days 00:03:37,SPEAKER 1, That's not me.
0 days 00:03:37,0 days 00:03:41,SPEAKER 2," I need either a member of Black Lives Matter, I need a supporter or someone who doesn't support"
0 days 00:03:41,0 days 00:03:42,SPEAKER 2, them.
0 days 00:03:42,0 days 00:03:43,SPEAKER 2, I simply report on black lives matter.
0 days 00:03:43,0 days 00:03:51,SPEAKER 1, Do you condemn the anti-police rhetoric coming from this hateful ideology as a journalist sitting
0 days 00:03:51,0 days 00:03:52,SPEAKER 2, here on television?
0 days 00:03:52,0 days 00:03:58,SPEAKER 2," I don't have to condemn anyone, that is something they need to ask other people around the"
0 days 00:03:58,0 days 00:03:59,SPEAKER 2, country.
0 days 00:03:59,0 days 00:04:01,SPEAKER 2, I condemn their jobs to condemn them.
0 days 00:04:01,0 days 00:04:05,SPEAKER 1, Just like I condemn the hateful ideology out of groups like the KKK.
0 days 00:04:05,0 days 00:04:06,SPEAKER 1, All right.
0 days 00:04:06,0 days 00:04:08,SPEAKER 1, I condemn it.
0 days 00:04:08,0 days 00:04:14,SPEAKER 1," There is no place in American discourse for that sort of vile, vitriolic hate coming out"
0 days 00:04:14,0 days 00:04:16,SPEAKER 1, of this ideology.
0 days 00:04:16,0 days 00:04:22,SPEAKER 1, This has fueled and fanned the flames of this anger toward the American police officer.
0 days 00:04:22,0 days 00:04:29,SPEAKER 1," There's only one group in America, one time, that truly cares about the lives of black people"
0 days 00:04:29,0 days 00:04:30,SPEAKER 1, in deserving ghettos.
0 days 00:04:30,0 days 00:04:35,SPEAKER 1," And it's the American police officer who goes out there on a daily basis, puts their"
0 days 00:04:35,0 days 00:04:40,SPEAKER 1," life on the line to protect who, black people."
0 days 00:04:40,0 days 00:04:46,SPEAKER 1," So when you say we just want to have a conversation, let's have a conversation about the black"
0 days 00:04:46,0 days 00:04:52,SPEAKER 1, on black crime which kills more black males which is more of a threat to any black male
0 days 00:04:52,0 days 00:04:56,SPEAKER 1, in the United States than a law enforcement officer.
0 days 00:04:56,0 days 00:04:57,SPEAKER 2, Sure.
0 days 00:04:57,0 days 00:05:00,SPEAKER 2," Yes, that's a different conversation."
